         functype[0]=LJ_SR, c6= 3.35274590e-03, c12= 3.95094276e-06
         functype[1]=LJ_SR, c6= 8.76987397e-05, c12= 8.89530316e-09
         functype[2]=LJ_SR, c6= 3.08322744e-03, c12= 4.16510693e-06
         functype[3]=LJ_SR, c6= 2.70185672e-04, c12= 8.44303685e-08
         functype[4]=LJ_SR, c6= 5.69574069e-04, c12= 3.75210078e-07
         functype[5]=LJ_SR, c6= 2.73366901e-03, c12= 3.69289137e-06
         functype[6]=LJ_SR, c6= 2.83348933e-03, c12= 2.53896906e-06
         functype[7]=LJ_SR, c6= 2.83348933e-03, c12= 2.53896906e-06
         functype[8]=LJ_SR, c6= 8.76987397e-05, c12= 8.89530316e-09
         functype[9]=LJ_SR, c6= 4.73845692e-04, c12= 2.59685635e-07
         functype[10]=LJ_SR, c6= 5.29074110e-04, c12= 3.31215972e-07
         functype[11]=LJ_SR, c6= 3.14098387e-03, c12= 3.11696795e-06
         functype[12]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[13]=LJ_SR, c6= 5.39413886e-03, c12= 8.43331054e-06
         functype[14]=LJ_SR, c6= 3.08322744e-03, c12= 4.16510693e-06
         functype[15]=LJ_SR, c6= 5.69574069e-04, c12= 3.75210078e-07
         functype[16]=LJ_SR, c6= 2.73366901e-03, c12= 3.69289137e-06
         functype[17]=LJ_SR, c6= 2.83348933e-03, c12= 2.53896906e-06
         functype[18]=LJ_SR, c6= 3.35274590e-03, c12= 3.95094276e-06
         functype[19]=LJ_SR, c6= 4.73845692e-04, c12= 2.59685635e-07
         functype[20]=LJ_SR, c6= 5.29074110e-04, c12= 3.31215972e-07
         functype[21]=LJ_SR, c6= 5.39413886e-03, c12= 8.43331054e-06
         functype[22]=LJ_SR, c6= 2.70185672e-04, c12= 8.44303685e-08
         functype[23]=LJ_SR, c6= 8.76987397e-05, c12= 8.89530316e-09
         functype[24]=LJ_SR, c6= 3.67164426e-03, c12= 3.99816372e-06
         functype[25]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[26]=LJ_SR, c6= 4.59894392e-04, c12= 5.82371172e-07
         functype[27]=LJ_SR, c6= 8.76987397e-05, c12= 8.89530316e-09
         functype[28]=LJ_SR, c6= 3.92294794e-07, c12= 5.85698102e-13
         functype[29]=LJ_SR, c6= 8.63071400e-05, c12= 1.07394778e-08
         functype[30]=LJ_SR, c6= 3.17116360e-06, c12= 3.82724234e-11
         functype[31]=LJ_SR, c6= 1.08556287e-05, c12= 4.48496101e-10
         functype[32]=LJ_SR, c6= 7.65221412e-05, c12= 9.52189794e-09
         functype[33]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[34]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[35]=LJ_SR, c6= 3.92294794e-07, c12= 5.85698102e-13
         functype[36]=LJ_SR, c6= 8.08551067e-06, c12= 2.48807586e-10
         functype[37]=LJ_SR, c6= 9.78485605e-06, c12= 3.72787828e-10
         functype[38]=LJ_SR, c6= 7.51872285e-05, c12= 5.87710902e-09
         functype[39]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[40]=LJ_SR, c6= 1.61949531e-04, c12= 2.50142733e-08
         functype[41]=LJ_SR, c6= 8.63071400e-05, c12= 1.07394778e-08
         functype[42]=LJ_SR, c6= 1.08556287e-05, c12= 4.48496101e-10
         functype[43]=LJ_SR, c6= 7.65221412e-05, c12= 9.52189794e-09
         functype[44]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[45]=LJ_SR, c6= 8.76987397e-05, c12= 8.89530316e-09
         functype[46]=LJ_SR, c6= 8.08551067e-06, c12= 2.48807586e-10
         functype[47]=LJ_SR, c6= 9.78485605e-06, c12= 3.72787828e-10
         functype[48]=LJ_SR, c6= 1.61949531e-04, c12= 2.50142733e-08
         functype[49]=LJ_SR, c6= 3.17116360e-06, c12= 3.82724234e-11
         functype[50]=LJ_SR, c6= 3.92294794e-07, c12= 5.85698102e-13
         functype[51]=LJ_SR, c6= 9.22487307e-05, c12= 8.30490698e-09
         functype[52]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[53]=LJ_SR, c6= 1.24705311e-05, c12= 1.40905565e-09
         functype[54]=LJ_SR, c6= 3.08322744e-03, c12= 4.16510693e-06
         functype[55]=LJ_SR, c6= 8.63071400e-05, c12= 1.07394778e-08
         functype[56]=LJ_SR, c6= 2.82676704e-03, c12= 4.36426080e-06
         functype[57]=LJ_SR, c6= 2.56891100e-04, c12= 9.51453956e-08
         functype[58]=LJ_SR, c6= 5.31028840e-04, c12= 4.06561213e-07
         functype[59]=LJ_SR, c6= 2.50628474e-03, c12= 3.86946658e-06
         functype[60]=LJ_SR, c6= 2.62219529e-03, c12= 2.71056524e-06
         functype[61]=LJ_SR, c6= 2.62219529e-03, c12= 2.71056524e-06
         functype[62]=LJ_SR, c6= 8.63071400e-05, c12= 1.07394778e-08
         functype[63]=LJ_SR, c6= 4.43824916e-04, c12= 2.83996542e-07
         functype[64]=LJ_SR, c6= 4.93894273e-04, c12= 3.59800595e-07
         functype[65]=LJ_SR, c6= 2.89984094e-03, c12= 3.31180581e-06
         functype[66]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[67]=LJ_SR, c6= 4.92976559e-03, c12= 8.78055653e-06
         functype[68]=LJ_SR, c6= 2.82676704e-03, c12= 4.36426080e-06
         functype[69]=LJ_SR, c6= 5.31028840e-04, c12= 4.06561213e-07
         functype[70]=LJ_SR, c6= 2.50628474e-03, c12= 3.86946658e-06
         functype[71]=LJ_SR, c6= 2.62219529e-03, c12= 2.71056524e-06
         functype[72]=LJ_SR, c6= 3.08322744e-03, c12= 4.16510693e-06
         functype[73]=LJ_SR, c6= 4.43824916e-04, c12= 2.83996542e-07
         functype[74]=LJ_SR, c6= 4.93894273e-04, c12= 3.59800595e-07
         functype[75]=LJ_SR, c6= 4.92976559e-03, c12= 8.78055653e-06
         functype[76]=LJ_SR, c6= 2.56891100e-04, c12= 9.51453956e-08
         functype[77]=LJ_SR, c6= 8.63071400e-05, c12= 1.07394778e-08
         functype[78]=LJ_SR, c6= 3.38253682e-03, c12= 4.22999665e-06
         functype[79]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[80]=LJ_SR, c6= 4.22244222e-04, c12= 6.11965106e-07
         functype[81]=LJ_SR, c6= 2.70185672e-04, c12= 8.44303685e-08
         functype[82]=LJ_SR, c6= 3.17116360e-06, c12= 3.82724234e-11
         functype[83]=LJ_SR, c6= 2.56891100e-04, c12= 9.51453956e-08
         functype[84]=LJ_SR, c6= 1.48957070e-05, c12= 8.44444126e-10
         functype[85]=LJ_SR, c6= 3.93821792e-05, c12= 5.90266502e-09
         functype[86]=LJ_SR, c6= 2.27766286e-04, c12= 8.43583692e-08
         functype[87]=LJ_SR, c6= 2.12945597e-04, c12= 4.71874166e-08
         functype[88]=LJ_SR, c6= 2.12945597e-04, c12= 4.71874166e-08
         functype[89]=LJ_SR, c6= 3.17116360e-06, c12= 3.82724234e-11
         functype[90]=LJ_SR, c6= 3.10867872e-05, c12= 3.67790420e-09
         functype[91]=LJ_SR, c6= 3.60611084e-05, c12= 5.06326892e-09
         functype[92]=LJ_SR, c6= 2.42388909e-04, c12= 6.10802857e-08
         functype[93]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[94]=LJ_SR, c6= 4.65276098e-04, c12= 2.06466709e-07
         functype[95]=LJ_SR, c6= 2.56891100e-04, c12= 9.51453956e-08
         functype[96]=LJ_SR, c6= 3.93821792e-05, c12= 5.90266502e-09
         functype[97]=LJ_SR, c6= 2.27766286e-04, c12= 8.43583692e-08
         functype[98]=LJ_SR, c6= 2.12945597e-04, c12= 4.71874166e-08
         functype[99]=LJ_SR, c6= 2.70185672e-04, c12= 8.44303685e-08
         functype[100]=LJ_SR, c6= 3.10867872e-05, c12= 3.67790420e-09
         functype[101]=LJ_SR, c6= 3.60611084e-05, c12= 5.06326892e-09
         functype[102]=LJ_SR, c6= 4.65276098e-04, c12= 2.06466709e-07
         functype[103]=LJ_SR, c6= 1.48957070e-05, c12= 8.44444126e-10
         functype[104]=LJ_SR, c6= 3.17116360e-06, c12= 3.82724234e-11
         functype[105]=LJ_SR, c6= 2.90107651e-04, c12= 8.21357773e-08
         functype[106]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[107]=LJ_SR, c6= 3.77222532e-05, c12= 1.28929845e-08
         functype[108]=LJ_SR, c6= 5.69574069e-04, c12= 3.75210078e-07
         functype[109]=LJ_SR, c6= 1.08556287e-05, c12= 4.48496101e-10
         functype[110]=LJ_SR, c6= 5.31028840e-04, c12= 4.06561213e-07
         functype[111]=LJ_SR, c6= 3.93821792e-05, c12= 5.90266502e-09
         functype[112]=LJ_SR, c6= 9.09000737e-05, c12= 3.14468487e-08
         functype[113]=LJ_SR, c6= 4.70823928e-04, c12= 3.60467681e-07
         functype[114]=LJ_SR, c6= 4.67791950e-04, c12= 2.27716413e-07
         functype[115]=LJ_SR, c6= 4.67791950e-04, c12= 2.27716413e-07
         functype[116]=LJ_SR, c6= 1.08556287e-05, c12= 4.48496101e-10
         functype[117]=LJ_SR, c6= 7.40353134e-05, c12= 2.08605879e-08
         functype[118]=LJ_SR, c6= 8.39481290e-05, c12= 2.74394178e-08
         functype[119]=LJ_SR, c6= 5.24200674e-04, c12= 2.85674020e-07
         functype[120]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[121]=LJ_SR, c6= 9.42432031e-04, c12= 8.47088131e-07
         functype[122]=LJ_SR, c6= 5.31028840e-04, c12= 4.06561213e-07
         functype[123]=LJ_SR, c6= 9.09000737e-05, c12= 3.14468487e-08
         functype[124]=LJ_SR, c6= 4.70823928e-04, c12= 3.60467681e-07
         functype[125]=LJ_SR, c6= 4.67791950e-04, c12= 2.27716413e-07
         functype[126]=LJ_SR, c6= 5.69574069e-04, c12= 3.75210078e-07
         functype[127]=LJ_SR, c6= 7.40353134e-05, c12= 2.08605879e-08
         functype[128]=LJ_SR, c6= 8.39481290e-05, c12= 2.74394178e-08
         functype[129]=LJ_SR, c6= 9.42432031e-04, c12= 8.47088131e-07
         functype[130]=LJ_SR, c6= 3.93821792e-05, c12= 5.90266502e-09
         functype[131]=LJ_SR, c6= 1.08556287e-05, c12= 4.48496101e-10
         functype[132]=LJ_SR, c6= 6.18719147e-04, c12= 3.73595071e-07
         functype[133]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[134]=LJ_SR, c6= 7.86985402e-05, c12= 5.61166296e-08
         functype[135]=LJ_SR, c6= 2.73366901e-03, c12= 3.69289137e-06
         functype[136]=LJ_SR, c6= 7.65221412e-05, c12= 9.52189794e-09
         functype[137]=LJ_SR, c6= 2.50628474e-03, c12= 3.86946658e-06
         functype[138]=LJ_SR, c6= 2.27766286e-04, c12= 8.43583692e-08
         functype[139]=LJ_SR, c6= 4.70823928e-04, c12= 3.60467681e-07
         functype[140]=LJ_SR, c6= 2.22213683e-03, c12= 3.43076886e-06
